Number,Name,Type1,Type2,Gen
0741,Oricorio,Fire,Flying,7
0742,Cutiefly,Bug,Fairy,7
0743,Ribombee,Bug,Fairy,7
0548,Petilil,Grass,None,5
0549,Lilligant,Grass,None,5
0546,Cottonee,Grass,Fairy,5
0547,Whimsicott,Grass,Fairy,5
0054,Psyduck,Water,None,1
0055,Golduck,Water,None,1
0129,Magikarp,Water,None,1
0130,Gyarados,Water,Flying,1
0339,Barboach,Water,Ground,3
0340,Whiscash,Water,Ground,3
0066,Machop,Fighting,None,1
0067,Machoke,Fighting,None,1
0068,Machamp,Fighting,None,1
0524,Roggenrola,Rock,None,5
0525,Boldore,Rock,None,5
0526,Gigalith,Rock,None,5
0703,Carbink,Rock,Fairy,6
0302,Sableye,Dark,Ghost,3
0744,Rockruff,Rock,None,7
0745,Lycanroc,Rock,None,7
0327,Spinda,Normal,None,3
0072,Tentacool,Water,Poison,1
0073,Tentacruel,Water,Poison,1
0456,Finneon,Water,None,4
0457,Lumineon,Water,None,4
0746,Wishiwashi,Water,None,7
0370,Luvdisc,Water,None,3
0222,Corsola,Water,Rock,2
0747,Mareanie,Poison,Water,7
0748,Toxapex,Poison,Water,7
0090,Shellder,Water,None,1
0091,Cloyster,Water,Ice,1
0371,Bagon,Dragon,None,3
0372,Shelgon,Dragon,None,3
0373,Salamence,Dragon,Flying,3
0506,Lillipup,Normal,None,5
0507,Herdier,Normal,None,5
0508,Stoutland,Normal,None,5
0133,Eevee,Normal,None,1
0134,Vaporeon,Water,None,1
0135,Jolteon,Electric,None,1
0136,Flareon,Fire,None,1
0196,Espeon,Psychic,None,2
0197,Umbreon,Dark,None,2
0470,Leafeon,Grass,None,4
0471,Glaceon,Ice,None,4
0700,Sylveon,Fairy,None,6
0749,Mudbray,Ground,None,7
0750,Mudsdale,Ground,None,7
0174,Igglybuff,Normal,Fairy,2
0039,Jigglypuff,Normal,Fairy,1
0040,Wigglytuff,Normal,Fairy,1
0128,Tauros,Normal,None,1
0241,Miltank,Normal,None,2
0283,Surskit,Bug,Water,3
0284,Masquerain,Bug,Flying,3
0751,Dewpider,Water,Bug,7
0752,Araquanid,Water,Bug,7
0753,Fomantis,Grass,None,7
0754,Lurantis,Grass,None,7
0755,Morelull,Grass,Fairy,7
0756,Shiinotic,Grass,Fairy,7
0046,Paras,Bug,Grass,1
0047,Parasect,Bug,Grass,1
0060,Poliwag,Water,None,1
0061,Poliwhirl,Water,None,1
0062,Poliwrath,Water,Fighting,1
0186,Politoed,Water,None,2
0118,Goldeen,Water,None,1
0119,Seaking,Water,None,1
0349,Feebas,Water,None,3
0350,Milotic,Water,None,3
0594,Alomomola,Water,None,5
0661,Fletchling,Normal,Flying,6
0662,Fletchinder,Fire,Flying,6
0663,Talonflame,Fire,Flying,6
0757,Salandit,Poison,Fire,7
0758,Salazzle,Poison,Fire,7
0104,Cubone,Ground,None,1
0105,Marowak,Fire,Ghost,1
0115,Kangaskhan,Normal,None,1
0240,Magby,Fire,None,2
0126,Magmar,Fire,None,1
0467,Magmortar,Fire,None,4
0759,Stufful,Normal,Fighting,7
0760,Bewear,Normal,Fighting,7
0761,Bounsweet,Grass,None,7
0762,Steenee,Grass,None,7
0763,Tsareena,Grass,None,7
0764,Comfey,Fairy,None,7
0127,Pinsir,Bug,None,1
0765,Oranguru,Normal,Psychic,7
0766,Passimian,Fighting,None,7
0704,Goomy,Dragon,None,6
0705,Sliggoo,Dragon,None,6
0706,Goodra,Dragon,None,6
0351,Castform,Normal,None,3
0767,Wimpod,Bug,Water,7
0768,Golisopod,Bug,Water,7
0120,Staryu,Water,None,1
0121,Starmie,Water,Psychic,1
0769,Sandygast,Ghost,Ground,7
0770,Palossand,Ghost,Ground,7
0408,Cranidos,Rock,None,4
0409,Rampardos,Rock,None,4
0410,Shieldon,Rock,Steel,4
0411,Bastiodon,Rock,Steel,4
0566,Archen,Rock,Flying,5
0567,Archeops,Rock,Flying,5
0564,Tirtouga,Water,Rock,5
0565,Carracosta,Water,Rock,5
0708,Phantump,Ghost,Grass,6
0709,Trevenant,Ghost,Grass,6
0299,Nosepass,Rock,None,3
0476,Probopass,Rock,Steel,4
0771,Pyukumuku,Water,None,7
0170,Chinchou,Water,Electric,2
0171,Lanturn,Water,Electric,2
0772,Type: Null,Normal,None,7
0773,Silvally,Normal,None,7
0718,Zygarde,Dragon,Ground,6
0568,Trubbish,Poison,None,5
0569,Garbodor,Poison,None,5
0227,Skarmory,Steel,Flying,2
0132,Ditto,Normal,None,1
0173,Cleffa,Fairy,None,2
0035,Clefairy,Fairy,None,1
0036,Clefable,Fairy,None,1
0774,Minior,Rock,Flying,7
0374,Beldum,Steel,Psychic,3
0375,Metang,Steel,Psychic,3
0376,Metagross,Steel,Psychic,3
0137,Porygon,Normal,None,1
0233,Porygon2,Normal,None,2
0474,Porygon-Z,Normal,None,4
0674,Pancham,Fighting,None,6
0675,Pangoro,Fighting,Dark,6
0775,Komala,Normal,None,7
0324,Torkoal,Fire,None,3
0776,Turtonator,Fire,Dragon,7
0777,Togedemaru,Electric,Steel,7
0239,Elekid,Electric,None,2
0125,Electabuzz,Electric,None,1
0466,Electivire,Electric,None,4
0074,Geodude,Rock,Electric,1
0075,Graveler,Rock,Electric,1
0076,Golem,Rock,Electric,1
0551,Sandile,Ground,Dark,5
0552,Krokorok,Ground,Dark,5
0553,Krookodile,Ground,Dark,5
0328,Trapinch,Ground,None,3
0329,Vibrava,Ground,Dragon,3
0330,Flygon,Ground,Dragon,3
0443,Gible,Dragon,Ground,4
0444,Gabite,Dragon,Ground,4
0445,Garchomp,Dragon,Ground,4
0707,Klefki,Steel,Fairy,6
0778,Mimikyu,Ghost,Fairy,7
0779,Bruxish,Water,Psychic,7
0780,Drampa,Normal,Dragon,7
0359,Absol,Dark,None,3
0361,Snorunt,Ice,None,3
0362,Glalie,Ice,None,3
0478,Froslass,Ice,Ghost,4
0215,Sneasel,Dark,Ice,2
0461,Weavile,Dark,Ice,4
0027,Sandshrew,Ice,Steel,1
0028,Sandslash,Ice,Steel,1
0037,Vulpix,Ice,None,1
0038,Ninetales,Ice,Fairy,1
0582,Vanillite,Ice,None,5
0583,Vanillish,Ice,None,5
0584,Vanilluxe,Ice,None,5
0209,Snubbull,Fairy,None,2
0210,Granbull,Fairy,None,2
0422,Shellos,Water,None,4
0423,Gastrodon,Water,Ground,4
0369,Relicanth,Water,Rock,3
0781,Dhelmise,Ghost,Grass,7
0318,Carvanha,Water,Dark,3
0319,Sharpedo,Water,Dark,3
0320,Wailmer,Water,None,3
0321,Wailord,Water,None,3
0131,Lapras,Water,Ice,1
0102,Exeggcute,Grass,Psychic,1
0103,Exeggutor,Grass,Dragon,1
0782,Jangmo-o,Dragon,None,7
0783,Hakamo-o,Dragon,Fighting,7
0784,Kommo-o,Dragon,Fighting,7
0587,Emolga,Electric,Flying,5
0123,Scyther,Bug,Flying,1
0212,Scizor,Bug,Steel,2
0198,Murkrow,Dark,Flying,2
0430,Honchkrow,Dark,Flying,4
0447,Riolu,Fighting,None,4
0448,Lucario,Fighting,Steel,4
0147,Dratini,Dragon,None,1
0148,Dragonair,Dragon,None,1
0149,Dragonite,Dragon,Flying,1
0142,Aerodactyl,Rock,Flying,1
0785,Tapu Koko,Electric,Fairy,7
0786,Tapu Lele,Psychic,Fairy,7
0787,Tapu Bulu,Grass,Fairy,7
0788,Tapu Fini,Water,Fairy,7
0789,Cosmog,Psychic,None,7
0790,Cosmoem,Psychic,None,7
0791,Solgaleo,Psychic,Steel,7
0792,Lunala,Psychic,Ghost,7
0793,Nihilego,Rock,Poison,7
0794,Buzzwole,Bug,Fighting,7
0795,Pheromosa,Bug,Fighting,7
0796,Xurkitree,Electric,None,7
0797,Celesteela,Steel,Flying,7
0798,Kartana,Grass,Steel,7
0799,Guzzlord,Dark,Dragon,7
0800,Necrozma,Psychic,None,7
0801,Magearna,Steel,Fairy,7
0802,Marshadow,Fighting,Ghost,7
